Code site;Adresse;Opérateur;Mise en service;Mise en service 4G;Mise en service 5G - 3500;Mise en service 5G - 700;Type;Arrondissement;geo_shape;geo_point_2d
75118_060_02;56 avenue de Saint-Ouen;FREE MOBILE;2017-09-26;2017-09-26;2023-08-30;;3G/4G;75018;"{""coordinates"": [2.3270051070815727, 48.89085366370959], ""type"": ""Point""}";48.89085366370959, 2.3270051070815727
75119_010_01;59 AVENUE FLANDRES;FREE MOBILE;2013-09-11;2013-09-11;2022-11-24;;3G/4G/5G;75019;"{""coordinates"": [2.372803897951256, 48.887954381826795], ""type"": ""Point""}";48.887954381826795, 2.372803897951256
75119_057_04;132, avenue Jean Jaurès;FREE MOBILE;2020-07-16;2020-07-16;;;3G/4G/5G;75019;"{""coordinates"": [2.385076500144555, 48.886514999904044], ""type"": ""Point""}";48.886514999904044, 2.385076500144555
00000066U8;5, rue barbette;Orange;2013-03-14;2014-06-24;;;;75003;"{""coordinates"": [2.3611050005404635, 48.85862399999209], ""type"": ""Point""}";48.85862399999209, 2.3611050005404635
00007799U5;19, rue Beaubourg;Orange;2013-12-12;2013-12-17;;;;75004;"{""coordinates"": [2.3533805071026923, 48.86103075410861], ""type"": ""Point""}";48.86103075410861, 2.3533805071026923
00000432U7;place Marcellin berthelot;Orange;2013-07-31;2014-04-10;2022-01-07;;;75005;"{""coordinates"": [2.3456336268372717, 48.849100193428725], ""type"": ""Point""}";48.849100193428725, 2.3456336268372717
00015708U7;15, rue de Vaugirard;Orange;2013-01-22;2013-12-03;2023-08-02;;;75006;"{""coordinates"": [2.33722698674268, 48.84916434654543], ""type"": ""Point""}";48.84916434654543, 2.33722698674268
00000095U7;6/8, rue du gen camou;Orange;2014-08-13;2014-12-12;2022-12-15;;;75007;"{""coordinates"": [2.2997914653248612, 48.85902830957368], ""type"": ""Point""}";48.85902830957368, 2.2997914653248612
00000058U8;61, rue de folie regnault;Orange;2011-08-10;2013-09-16;;;;75011;"{""coordinates"": [2.3857705415300106, 48.86130660576403], ""type"": ""Point""}";48.86130660576403, 2.3857705415300106
00000035U7;48/50 avenue d'Italie;Orange;2016-04-07;2015-12-16;2022-11-30;;;75013;"{""coordinates"": [2.3563340353995, 48.82788836529985], ""type"": ""Point""}";48.82788836529985, 2.3563340353995
00000013U7;57, rue de clisson;Orange;2012-12-11;2013-06-12;;;;75013;"{""coordinates"": [2.366267471607715, 48.83060762545073], ""type"": ""Point""}";48.83060762545073, 2.366267471607715
00000057U7;76, rue lecourbe;Orange;2012-02-16;2014-05-23;2020-11-10;;;75015;"{""coordinates"": [2.305371499999648, 48.843602315209424], ""type"": ""Point""}";48.843602315209424, 2.305371499999648
00024105U3;14 boulevard de vaugirard;Orange;2015-07-09;2015-07-09;;;;75015;"{""coordinates"": [2.31918650358289, 48.84193732808719], ""type"": ""Point""}";48.84193732808719, 2.31918650358289
00000042U7;25, rue claude terrasse;Orange;2011-05-09;2013-04-18;2020-12-11;;;75016;"{""coordinates"": [2.2626459891994326, 48.838851727437856], ""type"": ""Point""}";48.838851727437856, 2.2626459891994326
00022865U3;27, rue de la Pompe;Orange;2014-04-08;2013-07-16;2022-08-19;;;75016;"{""coordinates"": [2.274779378529529, 48.86042016797811], ""type"": ""Point""}";48.86042016797811, 2.274779378529529
00000405U7;33, rue poncelet;Orange;2011-07-09;2013-05-14;2020-04-14;;;75017;"{""coordinates"": [2.2983390005644773, 48.8798369995746], ""type"": ""Point""}";48.8798369995746, 2.2983390005644773
00000442U7;174/176, bd berthier;Orange;2013-09-27;2013-08-12;2020-12-17;;;75017;"{""coordinates"": [2.293952596078375, 48.88615119678579], ""type"": ""Point""}";48.88615119678579, 2.293952596078375
00015050U5;18-22, rue Philibert Delorme;Orange;2014-04-30;2014-04-29;2023-01-24;;;75017;"{""coordinates"": [2.3032046029233957, 48.8889006877702], ""type"": ""Point""}";48.8889006877702, 2.3032046029233957
00000072U5;140, av de flandre;Orange;2011-08-10;2019-04-30;2022-08-19;;;75019;"{""coordinates"": [2.3804808867472818, 48.893268889582025], ""type"": ""Point""}";48.893268889582025, 2.3804808867472818
00000042U8;18/26, rue goubet;Orange;2011-06-27;2013-12-02;;;;75019;"{""coordinates"": [2.390158097305594, 48.88588560146046], ""type"": ""Point""}";48.88588560146046, 2.390158097305594
00000209U8;27 rue Saint-Fargeau;Orange;2011-01-06;2013-08-12;2020-12-16;;;75020;"{""coordinates"": [2.401760540638031, 48.87177829357552], ""type"": ""Point""}";48.87177829357552, 2.401760540638031
00000064U8;12, Rue Pelleport;Orange;2015-04-20;2015-03-24;2023-02-08;;;75020;"{""coordinates"": [2.405155499757299, 48.86281800038284], ""type"": ""Point""}";48.86281800038284, 2.405155499757299
751104;112  RUE RAMBUTEAU;SFR;;;2022-03-16;;2G+3G+4G+5G;75001;"{""coordinates"": [2.3478015691761396, 48.86271952723051], ""type"": ""Point""}";48.86271952723051, 2.3478015691761396
751354;3  RUE DOLOMIEU;SFR;;;;;2G+3G+4G+;75005;"{""coordinates"": [2.3522345017540305, 48.8426393610969], ""type"": ""Point""}";48.8426393610969, 2.3522345017540305
753606;216  RUE SAINT JACQUES;SFR;;;2023-12-07;;++4G+5G;75005;"{""coordinates"": [2.3424030006116974, 48.84516900025942], ""type"": ""Point""}";48.84516900025942, 2.3424030006116974
751160;31  RUE DE BUCI;SFR;;;2021-09-10;;2G+3G+4G+5G;75006;"{""coordinates"": [2.336233499822698, 48.85338600026411], ""type"": ""Point""}";48.85338600026411, 2.336233499822698
752905;32 RUE DE DOUAI;SFR;;;2021-12-28;;2G+3G+4G+;75009;"{""coordinates"": [2.3327144999222797, 48.88261800035465], ""type"": ""Point""}";48.88261800035465, 2.3327144999222797
